date,equity,derivatives,bonds,liquidity,real_estate,commodities,long_term_share,short_term_share,gdp_growth_qoq,inflation_qoq,term_spread
2021-03-31,0.567,0.018,0.258,0.114,0.008,0.035,0.452,0.549,-1.51728810393722,1.7470186317502634,0.13253968253968262
2021-06-30,0.576,0.018,0.25,0.113,0.008,0.036,0.459,0.54,1.974308393908819,1.286111949805968,0.3280645161290323
2021-09-30,0.566,0.018,0.25,0.122,0.008,0.035,0.469,0.532,2.13703460703516,1.0789268097262106,0.17772727272727284
2021-12-31,0.583,0.017,0.234,0.122,0.007,0.036,0.472,0.53,3.2070877209508852,0.8705009372522943,0.3224479166666666
2022-03-31,0.568,0.018,0.225,0.142,0.007,0.039,0.46,0.54,0.25532069114369005,2.2862267239917466,0.68390625
2022-06-30,0.519,0.02,0.241,0.167,0.009,0.044,0.397,0.604,0.524954890858087,3.587234838648423,1.4535483870967743
2022-09-30,0.515,0.021,0.246,0.166,0.01,0.041,0.386,0.613,1.7728918728790788,2.591022917801067,0.8743939393939396
2022-12-31,0.527,0.02,0.253,0.15,0.009,0.04,0.379,0.621,0.7469605412782965,2.3572619940607886,0.3532291666666665
2023-03-31,0.542,0.019,0.262,0.129,0.008,0.04,0.336,0.665,-0.5164213282714991,1.6402394680808063,-0.2919487179487179
2023-06-30,0.543,0.018,0.271,0.121,0.008,0.038,0.326,0.676,-0.5731247010884344,1.334412590434897,-0.9880107526881723
2023-09-30,0.534,0.018,0.284,0.118,0.008,0.037,0.325,0.675,0.5632563898245735,0.7526138048774556,-1.1955897435897431
2023-12-31,0.54,0.017,0.294,0.107,0.007,0.035,0.311,0.688,0.947529953871773,-0.1129238431954227,-1.4050317460317459
2024-03-31,0.553,0.017,0.289,0.101,0.006,0.035,0.333,0.667,-0.933039857742135,0.6247584232578873,-1.612714285714286
2024-06-30,0.549,0.017,0.285,0.109,0.005,0.034,0.349,0.65,0.22529093741379125,1.1279236575333584,-1.3148095238095237
2024-09-30,0.552,0.018,0.287,0.103,0.005,0.036,0.366,0.635,1.0691657929073672,0.4793271874100391,-1.2515757575757576
2024-12-31,0.551,0.016,0.284,0.11,0.004,0.034,0.346,0.654,1.006304361251087,0.24067268302900846,-0.7443440860215054
2025-03-31,0.546,0.017,0.286,0.109,0.003,0.039,0.372,0.628,-0.3128111675847256,0.27690014436827504,0.023952380952380725
2025-06-30,0.551,0.017,0.283,0.108,0.003,0.036,0.392,0.609,0.21302968650329657,0.8197374786572231,0.44849462365591375
2025-09-30,0.561,0.018,0.278,0.1,0.003,0.041,0.417,0.584,1.2801333012362415,0.5526316498885464,0.6829090909090909
2025-12-31,0.566,0.018,0.274,0.094,0.003,0.045,0.354,0.645,1.1445408509127342,0.2412555655743498,0.6678602150537634
